x,y,z,u,v,w,u0,v0,w0,ZNCC,iteration,convergence,feature,ux,uy,uz,vx,vy,vz,wx,wy,wz
45,55,60,0.07956054,0.11756466,-0.35788068,0,0,0,0.96728796,6,0.00089993,0,0.00229216,0.00150419,0.00353006,0.00164099,0.00284398,0.00566154,0.00016856,0.00672675,-0.01005483
50,55,60,0.09016662,0.11835131,-0.36707821,0,0,0,0.96685648,7,0.00050222,0,0.00236261,0.00184197,0.00392525,0.00199709,0.00252247,0.00584514,-0.00011606,0.00594319,-0.01156449
55,55,60,0.11010551,0.12271705,-0.36843207,0,0,0,0.96720308,7,0.00048424,0,0.00225842,0.00202624,0.0041885,0.00202237,0.00206649,0.00568967,-0.00038056,0.00581012,-0.01153672
60,55,60,0.12877984,0.12879986,-0.37047091,0,0,0,0.96643704,7,0.00039866,0,0.00128222,0.00201028,0.00419345,0.00191554,0.0018338,0.00567274,-0.00119353,0.0057329,-0.01090634
65,55,60,0.14654949,0.1389901,-0.37864709,0,0,0,0.96443903,6,0.00077965,0,0.00047851,0.00177291,0.00420973,0.0017989,0.00136888,0.00562699,-0.00192749,0.00567771,-0.01055121
35,60,60,0.0948018,0.11372899,-0.35448098,0,0,0,0.96556598,6,0.00078449,0,0.00157404,0.00040411,0.00204183,0.00173457,0.00391161,0.00593904,0.00026478,0.00391151,-0.0126245
40,60,60,0.12184579,0.14610875,-0.35888985,0,0,0,0.96344537,8,0.0005158,0,0.00063431,0.0012859,0.00504054,0.00170545,0.00453031,0.00838517,0.00091926,0.00452828,-0.01303077
45,60,60,0.10400576,0.14709422,-0.36353186,0,0,0,0.9631443,9,0.00053973,0,0.0014782,0.00187036,0.00578531,0.00190386,0.00420904,0.00907998,-0.00013274,0.0039435,-0.01483577
50,60,60,0.09487197,0.14036751,-0.34969801,0,0,0,0.96394402,10,0.00067721,0,0.00216365,0.00237879,0.00534029,0.00243708,0.00459671,0.00845153,-0.00051888,0.00376074,-0.01356387
55,60,60,0.10368656,0.14439583,-0.34673116,0,0,0,0.96504557,10,0.00063151,0,0.00275922,0.00268825,0.00501209,0.00231709,0.00441468,0.00747585,-0.00088129,0.00399518,-0.01232207
60,60,60,0.12004168,0.147993,-0.35115561,0,0,0,0.96486861,8,0.00087095,0,0.00239789,0.00300506,0.00499863,0.00212984,0.00413907,0.00664515,-0.00136992,0.00402215,-0.01133281
65,60,60,0.14542311,0.16738817,-0.36240932,0,0,0,0.96317285,7,0.00058399,0,0.00134194,0.00240499,0.00516582,0.00134357,0.00326025,0.00644198,-0.00165393,0.00432687,-0.01071644
35,65,60,0.1063052,0.13401522,-0.30523944,0,0,0,0.96017599,7,0.00060384,0,0.0005312,0.00073659,0.00455946,0.00274607,0.00923967,0.00989991,0.00215233,0.00320532,-0.01272976
40,65,60,0.1290165,0.16092595,-0.31315309,0,0,0,0.95852369,8,0.00091598,0,0.00062668,0.00145347,0.00660687,0.00251607,0.00831616,0.01179844,0.00146499,0.00350698,-0.01404363
45,65,60,0.07332788,0.14302021,-0.3016572,0,0,0,0.95937991,9,0.00088186,0,0.00258398,0.00316438,0.00551071,0.00333781,0.00891674,0.01136213,-0.00071129,0.00272335,-0.01453763
50,65,60,0.05823889,0.14116953,-0.28613991,0,0,0,0.96102732,9,0.00063567,0,0.00377131,0.00375514,0.00415251,0.0041851,0.00993264,0.01046716,-0.00168048,0.00248447,-0.01277727
55,65,60,0.07747103,0.1706564,-0.28603461,0,0,0,0.96237558,8,0.00064109,0,0.0042659,0.00330569,0.00375543,0.00333884,0.00953889,0.01015786,-0.0023971,0.00336136,-0.01111495
60,65,60,0.10779306,0.20629276,-0.30079302,0,0,0,0.96239012,7,0.00059952,0,0.00343513,0.00240633,0.00413189,0.00091086,0.00796068,0.01025264,-0.00239489,0.00443482,-0.0103659
65,65,60,0.14140373,0.23435868,-0.3219234,0,0,0,0.96128488,6,0.00052226,0,0.00123036,0.00089613,0.00518296,-0.00194294,0.00530934,0.01022192,-0.0019382,0.00535881,-0.01044887
35,35,65,0.07409456,0.04920765,-0.5602439,0,0,0,0.96876276,7,0.00065112,0,0.00037396,-0.00178231,-0.00067494,0.0014433,-0.00022614,0.00261851,0.00134526,0.00738395,-0.01312959
40,35,65,0.06986456,0.055832,-0.55453426,0,0,0,0.96762335,6,0.00083871,0,0.00060761,-0.00178543,-0.00043214,0.00188743,-0.00119001,0.00276647,0.00158967,0.00766963,-0.01271969
45,35,65,0.05576845,0.07017391,-0.54431939,0,0,0,0.96645272,6,0.00058363,0,0.00245547,-0.0021833,-0.00018117,0.00308845,-0.00258946,0.00315083,0.00051867,0.00807288,-0.01250011
50,35,65,0.0705668,0.08133028,-0.53295648,0,0,0,0.96563095,6,0.00098915,0,0.00378561,-0.00167147,-0.00007995,0.0050286,-0.00431901,0.00365809,-0.00006109,0.0087573,-0.01210684
55,35,65,0.09702844,0.09643497,-0.52837807,0,0,0,0.96551961,7,0.00080853,0,0.00405204,-0.00156052,-0.00006995,0.00606196,-0.00512719,0.00365538,-0.00037384,0.0089851,-0.01156187
60,35,65,0.11177806,0.11712871,-0.52906418,0,0,0,0.96396089,6,0.00087861,0,0.00360167,-0.00228324,0.00076083,0.00400529,-0.002648,0.00335224,-0.00043305,0.00779294,-0.01018989
65,35,65,0.12668571,0.13447374,-0.53679001,0,0,0,0.9625603,7,0.00041166,0,0.00304532,-0.0023027,0.00117413,0.00280432,-0.00107998,0.0030081,-0.00096974,0.00687953,-0.00948471
35,40,65,0.06383841,0.05278426,-0.52615035,0,0,0,0.9709568,6,0.0007207,0,0.00024951,-0.00210528,-0.00034019,0.00123796,0.00022137,0.00233214,0.00122539,0.00785697,-0.01249218
40,40,65,0.05897525,0.0597967,-0.52149522,0,0,0,0.9697746,6,0.00074135,0,0.00058234,-0.00239195,-0.00025744,0.00162691,-0.00034344,0.00247351,0.0014286,0.00799702,-0.0121972
45,40,65,0.04681615,0.07366723,-0.50926441,0,0,0,0.96837789,6,0.00079885,0,0.00278032,-0.00242288,0.00031765,0.00272247,-0.00131071,0.00300475,0.00049506,0.00839788,-0.01176494
50,40,65,0.06328123,0.08650894,-0.49951878,0,0,0,0.96727192,6,0.0009607,0,0.00410736,-0.0019081,0.00064897,0.00416049,-0.00206697,0.003494,0.00012031,0.00882576,-0.01145834
55,40,65,0.09079141,0.09616497,-0.49779287,0,0,0,0.96721858,6,0.0009398,0,0.00369823,-0.00137675,0.00056251,0.00509875,-0.00303167,0.00354966,-0.000504,0.00929283,-0.01141781
60,40,65,0.11177541,0.10906981,-0.49870449,0,0,0,0.96569312,6,0.00097228,0,0.00228703,-0.00097492,0.00099346,0.00421034,-0.0024035,0.00362284,-0.00106033,0.00897681,-0.01054895
65,40,65,0.12070345,0.12928078,-0.50636816,0,0,0,0.96396178,6,0.00085485,0,0.0022279,-0.00138194,0.00135649,0.00294133,-0.00108802,0.00321949,-0.00147127,0.00812252,-0.0095343
35,45,65,0.05797637,0.06011072,-0.49802002,0,0,0,0.97263551,6,0.00038058,0,0.00025415,-0.00172251,-0.00043849,0.00086646,0.00068092,0.00185667,0.00118672,0.00773118,-0.01247054
40,45,65,0.05403914,0.06683148,-0.49281409,0,0,0,0.97141796,6,0.00065733,0,0.00048232,-0.00203011,-0.00041752,0.001243,0.00038397,0.0020848,0.00126758,0.00790764,-0.01201886
45,45,65,0.05435332,0.08433586,-0.48211682,0,0,0,0.96978861,6,0.00087666,0,0.00248468,-0.00129447,0.00077861,0.00240749,0.00006521,0.00299525,0.00039975,0.00812534,-0.01173538
50,45,65,0.07266272,0.09638558,-0.47400486,0,0,0,0.96850669,7,0.00033798,0,0.00338423,-0.00057516,0.00120204,0.00345958,-0.00019735,0.00349373,0.00030123,0.00833777,-0.01156396
55,45,65,0.09568586,0.10419095,-0.4736279,0,0,0,0.96834153,6,0.00086684,0,0.00296497,-0.00008466,0.00125119,0.00387256,-0.00066501,0.00348076,-0.00018677,0.00848818,-0.011545
60,45,65,0.11518653,0.11396998,-0.47520071,0,0,0,0.96695441,6,0.00083324,0,0.00148833,0.00052301,0.00154682,0.00330645,-0.00050622,0.00370703,-0.0008966,0.00853916,-0.01090354
65,45,65,0.12539107,0.12746376,-0.47838968,0,0,0,0.96496397,6,0.00089741,0,0.00149691,0.00010371,0.00177736,0.00260922,-0.00020033,0.00344495,-0.00159907,0.0079941,-0.00993586
35,50,65,0.06133046,0.07441092,-0.46915844,0,0,0,0.97262347,6,0.00028301,0,0.00041795,-0.00063064,-0.00034327,0.00059625,0.00138855,0.00207467,0.00082009,0.00770507,-0.01238912
40,50,65,0.07241526,0.08872594,-0.46205309,0,0,0,0.97098029,6,0.00058367,0,0.00050497,-0.00015074,0.00048909,0.00104435,0.00162172,0.00280498,0.00135567,0.00804757,-0.01145142
45,50,65,0.07425915,0.10834267,-0.45906833,0,0,0,0.96921146,7,0.00035865,0,0.00204909,0.00048352,0.00184515,0.00207688,0.00167775,0.00397058,0.00039497,0.00792587,-0.01206088
50,50,65,0.0862729,0.11673609,-0.45803583,0,0,0,0.96799386,7,0.00043381,0,0.00259042,0.00085956,0.00211752,0.00282057,0.00149226,0.0043457,0.00029825,0.00754699,-0.01240045
55,50,65,0.10524949,0.12168439,-0.45820379,0,0,0,0.96779931,7,0.00036335,0,0.0023452,0.00135936,0.00225294,0.00295354,0.00107157,0.00417861,0.00010364,0.00744138,-0.01239085
60,50,65,0.12371632,0.12965031,-0.45905086,0,0,0,0.96676594,6,0.00096312,0,0.00101304,0.00184688,0.00253893,0.00265958,0.00097692,0.00440134,-0.00058821,0.00744901,-0.01193464
65,50,65,0.13548221,0.1392609,-0.46067435,0,0,0,0.96461892,7,0.0004119,0,0.00091851,0.00152684,0.00272999,0.00227816,0.00084639,0.00424761,-0.00138335,0.00710912,-0.0110898
35,55,65,0.06747575,0.10691187,-0.43282431,0,0,0,0.96885103,6,0.00038238,0,0.00108802,-0.00058353,-0.00034598,0.0009986,0.00225484,0.00310287,0.00044237,0.00749157,-0.01183057
40,55,65,0.09850422,0.13991825,-0.42934495,0,0,0,0.9665091,6,0.00092094,0,0.00146317,0.00051325,0.00190945,0.00172341,0.00306964,0.00493331,0.00092456,0.00779293,-0.01135325
45,55,65,0.09383254,0.14776842,-0.44392112,0,0,0,0.96536189,7,0.0005387,0,0.00213373,0.00162806,0.00331009,0.00181243,0.00296521,0.00578614,0.00006928,0.00690315,-0.0134539
50,55,65,0.10581182,0.14981596,-0.44712064,0,0,0,0.96495038,7,0.00085443,0,0.0023216,0.00208135,0.00358654,0.0020575,0.00273049,0.00598795,0.00015404,0.00634918,-0.01393116
55,55,65,0.12328245,0.15210246,-0.44450867,0,0,0,0.96534759,7,0.00084189,0,0.00224018,0.00249032,0.00376349,0.00195693,0.00226462,0.00572808,-0.00004396,0.00626961,-0.01357263
60,55,65,0.14111066,0.15462475,-0.44329214,0,0,0,0.96474046,7,0.00071892,0,0.00110734,0.00283613,0.00401519,0.00172923,0.00195336,0.00572475,-0.00063606,0.00616358,-0.01300603
65,55,65,0.1573744,0.16346304,-0.44608501,0,0,0,0.9629246,7,0.00069862,0,0.00023115,0.00264906,0.00410461,0.00159763,0.0015105,0.00562635,-0.00130022,0.00608639,-0.01235551
35,60,65,0.11415889,0.14990149,-0.43659729,0,0,0,0.9635576,7,0.00047854,0,0.0017755,0.00056842,0.0023146,0.00223725,0.00400257,0.00652389,0.00030127,0.00447284,-0.01480103
40,60,65,0.14255016,0.18083623,-0.44975251,0,0,0,0.96144688,8,0.0008796,0,0.00080311,0.00150652,0.00498116,0.00201074,0.00460875,0.008496,0.00075062,0.00452561,-0.01590896
45,60,65,0.12638654,0.18612598,-0.45653155,0,0,0,0.96102798,9,0.00086189,0,0.00133669,0.00214387,0.0056304,0.00196719,0.00448382,0.00924958,-0.00009923,0.00403523,-0.01720196
