x,y,u,v,w,r1r2 ZNCC,r1t1 ZNCC,r1t2 ZNCC,r2_x,r2_y,t1_x,t1_y,t2_x,t2_y,ref_x,ref_y,ref_z,tar_y,tar_x,tar_z,exx,eyy,ezz,exy,eyz,ezx,
234.00000000,135.00000000,-37.61249542,-26.24348640,393.44818115,0.97707784,0.00000000,0.00000000,187.80334473,74.71686554,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,144.00000000,-37.61164093,-25.71133041,393.43783569,0.97932076,0.00000000,0.00000000,187.79907227,84.03260040,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,153.00000000,-37.61117554,-25.18074036,393.43145752,0.97926408,0.00000000,0.00000000,187.77282715,93.30295563,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,162.00000000,-37.61097336,-24.64887810,393.42810059,0.97847956,0.00000000,0.00000000,187.73074341,102.62519073,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,171.00000000,-37.61125565,-24.11890793,393.42950439,0.97827315,0.00000000,0.00000000,187.66236877,111.89067078,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,180.00000000,-37.61145401,-23.58804321,393.43014526,0.97698861,0.00000000,0.00000000,187.59796143,121.18656921,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,189.00000000,-37.61063385,-23.05516243,393.42028809,0.97493446,0.00000000,0.00000000,187.59223938,130.53340149,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,198.00000000,-37.61098480,-22.52543640,393.42248535,0.97272140,0.00000000,0.00000000,187.52067566,139.79278564,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,207.00000000,-37.61087036,-21.99521828,393.42010498,0.96979815,0.00000000,0.00000000,187.47540283,149.06080627,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,216.00000000,-37.61087799,-21.46528053,393.41915894,0.96777779,0.00000000,0.00000000,187.42280579,158.32217407,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,225.00000000,-37.61115646,-20.93322372,393.42080688,0.96529710,0.00000000,0.00000000,187.35440063,167.66329956,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
234.00000000,234.00000000,-37.61106110,-20.40218925,393.41864014,0.96773851,0.00000000,0.00000000,187.30810547,176.96144104,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
