x,y,u0,v0,u,v,exx,eyy,exy,zncc,iteration,convergence,feature,
96.00000000,30.00000000,-0.43040177,-4.15400982,-0.42808557,-4.16883612,0.00000000,0.00000000,0.00000000,0.99694860,3.00000000,0.00050954,58.00000000,
98.00000000,30.00000000,-0.43242931,-4.15516901,-0.42929393,-4.16700172,0.00000000,0.00000000,0.00000000,0.99692053,3.00000000,0.00054715,58.00000000,
100.00000000,30.00000000,-0.43251190,-4.15885019,-0.43185568,-4.16593409,0.00000000,0.00000000,0.00000000,0.99675262,3.00000000,0.00045946,61.00000000,
102.00000000,30.00000000,-0.43557245,-4.15840816,-0.43540090,-4.16618681,0.00000000,0.00000000,0.00000000,0.99680573,3.00000000,0.00039822,63.00000000,
104.00000000,30.00000000,-0.43171930,-4.15903950,-0.43258789,-4.16890478,0.00000000,0.00000000,0.00000000,0.99684209,3.00000000,0.00048253,59.00000000,
106.00000000,30.00000000,-0.43762884,-4.15286398,-0.43520421,-4.16697550,0.00000000,0.00000000,0.00000000,0.99690831,3.00000000,0.00076916,56.00000000,
108.00000000,30.00000000,-0.43684188,-4.15567541,-0.43657956,-4.16489840,0.00000000,0.00000000,0.00000000,0.99688345,3.00000000,0.00047797,59.00000000,
110.00000000,30.00000000,-0.43740490,-4.15583706,-0.43678492,-4.16302109,0.00000000,0.00000000,0.00000000,0.99694198,3.00000000,0.00048098,55.00000000,
112.00000000,30.00000000,-0.43679380,-4.14691830,-0.43501166,-4.16208363,0.00000000,0.00000000,0.00000000,0.99693733,3.00000000,0.00049831,56.00000000,
114.00000000,30.00000000,-0.43761086,-4.14567947,-0.43696091,-4.16016197,0.00000000,0.00000000,0.00000000,0.99695027,3.00000000,0.00054561,54.00000000,
116.00000000,30.00000000,-0.44449422,-4.14863729,-0.43560904,-4.16522884,0.00000000,0.00000000,0.00000000,0.99691588,3.00000000,0.00072317,55.00000000,
118.00000000,30.00000000,-0.44310850,-4.14916563,-0.43838531,-4.16517305,0.00000000,0.00000000,0.00000000,0.99694437,3.00000000,0.00039416,56.00000000,
120.00000000,30.00000000,-0.44227266,-4.15228605,-0.43679452,-4.16419220,0.00000000,0.00000000,0.00000000,0.99697375,3.00000000,0.00054750,58.00000000,
122.00000000,30.00000000,-0.44579628,-4.15611839,-0.43757024,-4.16741467,0.00000000,0.00000000,0.00000000,0.99694717,3.00000000,0.00035351,62.00000000,
124.00000000,30.00000000,-0.44802088,-4.15603733,-0.43400761,-4.16655064,0.00000000,0.00000000,0.00000000,0.99691290,3.00000000,0.00058703,57.00000000,
126.00000000,30.00000000,-0.45445603,-4.15757847,-0.44018334,-4.17044306,0.00000000,0.00000000,0.00000000,0.99703801,3.00000000,0.00041502,59.00000000,
128.00000000,30.00000000,-0.45491576,-4.15996790,-0.44282645,-4.16750336,0.00000000,0.00000000,0.00000000,0.99705696,3.00000000,0.00043990,58.00000000,
130.00000000,30.00000000,-0.45571721,-4.15998220,-0.44386569,-4.16272974,0.00000000,0.00000000,0.00000000,0.99698722,3.00000000,0.00034141,56.00000000,
132.00000000,30.00000000,-0.45416036,-4.16297531,-0.44143319,-4.16271591,0.00000000,0.00000000,0.00000000,0.99706882,3.00000000,0.00060172,53.00000000,
134.00000000,30.00000000,-0.44997078,-4.16252661,-0.44782597,-4.16141224,0.00000000,0.00000000,0.00000000,0.99701512,3.00000000,0.00070057,45.00000000,
136.00000000,30.00000000,-0.44956842,-4.16220427,-0.44630927,-4.16150951,0.00000000,0.00000000,0.00000000,0.99696112,3.00000000,0.00074940,45.00000000,
138.00000000,30.00000000,-0.45374402,-4.15978193,-0.44807327,-4.15874052,0.00000000,0.00000000,0.00000000,0.99693638,3.00000000,0.00057742,44.00000000,
140.00000000,30.00000000,-0.45433855,-4.16099072,-0.44319573,-4.16262913,0.00000000,0.00000000,0.00000000,0.99692363,3.00000000,0.00063827,44.00000000,
142.00000000,30.00000000,-0.45568675,-4.16664743,-0.44732091,-4.16344833,0.00000000,0.00000000,0.00000000,0.99705869,3.00000000,0.00082799,46.00000000,
144.00000000,30.00000000,-0.45695806,-4.16483593,-0.44969255,-4.16023540,0.00000000,0.00000000,0.00000000,0.99688113,3.00000000,0.00086522,48.00000000,
146.00000000,30.00000000,-0.45955768,-4.16223049,-0.44943756,-4.16125154,0.00000000,0.00000000,0.00000000,0.99677110,3.00000000,0.00066813,47.00000000,
148.00000000,30.00000000,-0.45941460,-4.15787554,-0.44431174,-4.15931606,0.00000000,0.00000000,0.00000000,0.99661458,3.00000000,0.00069083,46.00000000,
150.00000000,30.00000000,-0.45874274,-4.15625620,-0.44238114,-4.15996361,0.00000000,0.00000000,0.00000000,0.99655694,3.00000000,0.00096469,52.00000000,
152.00000000,30.00000000,-0.45939699,-4.15501547,-0.44462347,-4.16082382,0.00000000,0.00000000,0.00000000,0.99642062,3.00000000,0.00067076,50.00000000,
154.00000000,30.00000000,-0.45907891,-4.15327644,-0.44749239,-4.16209459,0.00000000,0.00000000,0.00000000,0.99640697,3.00000000,0.00061351,53.00000000,
156.00000000,30.00000000,-0.45960411,-4.15375328,-0.44999629,-4.16390276,0.00000000,0.00000000,0.00000000,0.99638778,3.00000000,0.00057377,54.00000000,
158.00000000,30.00000000,-0.45999056,-4.15475988,-0.44553241,-4.16507959,0.00000000,0.00000000,0.00000000,0.99641722,3.00000000,0.00081945,56.00000000,
160.00000000,30.00000000,-0.46139595,-4.15422964,-0.45359233,-4.16492176,0.00000000,0.00000000,0.00000000,0.99612558,3.00000000,0.00050531,54.00000000,
162.00000000,30.00000000,-0.45985577,-4.15512180,-0.45132989,-4.16342878,0.00000000,0.00000000,0.00000000,0.99608040,3.00000000,0.00048194,52.00000000,
164.00000000,30.00000000,-0.46107453,-4.15706539,-0.44910562,-4.16113424,0.00000000,0.00000000,0.00000000,0.99613082,3.00000000,0.00076571,47.00000000,
166.00000000,30.00000000,-0.46298763,-4.15924978,-0.45624721,-4.16267300,0.00000000,0.00000000,0.00000000,0.99600214,3.00000000,0.00055864,47.00000000,
168.00000000,30.00000000,-0.46145415,-4.15747547,-0.45748934,-4.15937042,0.00000000,0.00000000,0.00000000,0.99609977,3.00000000,0.00038615,47.00000000,
170.00000000,30.00000000,-0.45923585,-4.15483809,-0.45850348,-4.15713787,0.00000000,0.00000000,0.00000000,0.99601722,3.00000000,0.00044438,52.00000000,
172.00000000,30.00000000,-0.46186790,-4.15278816,-0.45975316,-4.15575314,0.00000000,0.00000000,0.00000000,0.99585408,3.00000000,0.00028367,52.00000000,
174.00000000,30.00000000,-0.46187586,-4.14827967,-0.46679118,-4.15171814,0.00000000,0.00000000,0.00000000,0.99577469,3.00000000,0.00075311,52.00000000,
176.00000000,30.00000000,-0.46316949,-4.14850044,-0.46422195,-4.14935589,0.00000000,0.00000000,0.00000000,0.99567485,3.00000000,0.00025805,54.00000000,
178.00000000,30.00000000,-0.46104464,-4.14644384,-0.46038368,-4.14683199,0.00000000,0.00000000,0.00000000,0.99576908,3.00000000,0.00088686,56.00000000,
180.00000000,30.00000000,-0.46401328,-4.14671183,-0.45994219,-4.14683390,0.00000000,0.00000000,0.00000000,0.99592549,3.00000000,0.00074312,55.00000000,
182.00000000,30.00000000,-0.46418735,-4.14551401,-0.46118873,-4.15041256,0.00000000,0.00000000,0.00000000,0.99596274,3.00000000,0.00067376,56.00000000,
184.00000000,30.00000000,-0.46420592,-4.14916801,-0.46080217,-4.14635992,0.00000000,0.00000000,0.00000000,0.99609482,3.00000000,0.00054789,55.00000000,
186.00000000,30.00000000,-0.46726856,-4.15046072,-0.46277773,-4.15074015,0.00000000,0.00000000,0.00000000,0.99615961,3.00000000,0.00054367,55.00000000,
188.00000000,30.00000000,-0.46621594,-4.14815998,-0.46212643,-4.15593243,0.00000000,0.00000000,0.00000000,0.99628925,4.00000000,0.00042152,53.00000000,
190.00000000,30.00000000,-0.46817708,-4.14388180,-0.46747446,-4.15439463,0.00000000,0.00000000,0.00000000,0.99622267,3.00000000,0.00054433,55.00000000,
192.00000000,30.00000000,-0.46885452,-4.14500999,-0.46393028,-4.15947342,0.00000000,0.00000000,0.00000000,0.99633604,3.00000000,0.00067385,54.00000000,
194.00000000,30.00000000,-0.46771663,-4.14323425,-0.46213380,-4.16406775,0.00000000,0.00000000,0.00000000,0.99629694,3.00000000,0.00095040,55.00000000,
196.00000000,30.00000000,-0.46897972,-4.14344788,-0.46364442,-4.16322136,0.00000000,0.00000000,0.00000000,0.99613172,3.00000000,0.00078970,50.00000000,
198.00000000,30.00000000,-0.46917543,-4.14459896,-0.46454063,-4.16306067,0.00000000,0.00000000,0.00000000,0.99608862,3.00000000,0.00071824,53.00000000,
200.00000000,30.00000000,-0.46791402,-4.14664268,-0.47415620,-4.16425371,0.00000000,0.00000000,0.00000000,0.99606860,4.00000000,0.00020267,48.00000000,
202.00000000,30.00000000,-0.47698694,-4.15061522,-0.46960706,-4.16060352,0.00000000,0.00000000,0.00000000,0.99588466,3.00000000,0.00096427,49.00000000,
204.00000000,30.00000000,-0.47763699,-4.14887524,-0.46791330,-4.16164923,0.00000000,0.00000000,0.00000000,0.99584347,3.00000000,0.00080852,47.00000000,
206.00000000,30.00000000,-0.47586715,-4.15034723,-0.47066954,-4.16180086,0.00000000,0.00000000,0.00000000,0.99572539,3.00000000,0.00097623,42.00000000,
208.00000000,30.00000000,-0.47562018,-4.14960957,-0.47352251,-4.16273785,0.00000000,0.00000000,0.00000000,0.99551374,4.00000000,0.00024447,44.00000000,
210.00000000,30.00000000,-0.47643033,-4.15218496,-0.47602955,-4.16502523,0.00000000,0.00000000,0.00000000,0.99560690,4.00000000,0.00027760,48.00000000,
212.00000000,30.00000000,-0.47528782,-4.15523243,-0.46985897,-4.16656208,0.00000000,0.00000000,0.00000000,0.99559432,4.00000000,0.00026767,47.00000000,
214.00000000,30.00000000,-0.47554010,-4.15548801,-0.47492218,-4.16798592,0.00000000,0.00000000,0.00000000,0.99557000,4.00000000,0.00029165,47.00000000,
216.00000000,30.00000000,-0.46877205,-4.15878439,-0.47073740,-4.16738367,0.00000000,0.00000000,0.00000000,0.99545932,3.00000000,0.00088236,49.00000000,
218.00000000,30.00000000,-0.46904400,-4.15761232,-0.47342640,-4.16929293,0.00000000,0.00000000,0.00000000,0.99538076,3.00000000,0.00054284,52.00000000,
220.00000000,30.00000000,-0.46953627,-4.15663004,-0.47243777,-4.17245626,0.00000000,0.00000000,0.00000000,0.99540812,4.00000000,0.00028346,53.00000000,
222.00000000,30.00000000,-0.46246409,-4.15404987,-0.47536144,-4.17041874,0.00000000,0.00000000,0.00000000,0.99533045,3.00000000,0.00093206,53.00000000,
224.00000000,30.00000000,-0.46290019,-4.15628481,-0.47683814,-4.17279673,0.00000000,0.00000000,0.00000000,0.99530494,4.00000000,0.00034747,50.00000000,
