x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature,exx,eyy,exy
150,430,-0.21392524,-8.35641193,3,0,0.90189886,10,1.33741307,0,-0.00198147,-0.02726724,0.03347686
152,430,1.25715971,-7.04624939,2,0,0.88762987,10,0.31679574,0,-0.01382716,-0.01865367,0.03139644
154,430,-0.36819798,-4.36458302,0,0,0.97448015,10,1.52684379,0,-0.02286913,-0.01652357,0.02783744
156,430,-0.53016871,-5.4468627,0,0,0.94515699,10,1.51253843,0,-0.03261559,-0.01361947,0.02697153
158,430,-0.38216317,-3.52260065,0,0,0.98498988,10,1.71355581,0,-0.03762789,-0.01310022,0.02738393
160,430,-0.61012936,-3.60372519,0,0,0.98150408,10,1.90218413,0,-0.03797005,-0.00845999,0.02934463
162,430,-0.73948008,-3.83268809,0,0,0.97418779,10,1.67887616,0,-0.01834555,-0.00376753,0.0243279
164,430,-0.5463869,-3.38468814,0,0,0.99675316,10,0.62082928,0,-0.01851221,-0.00226136,0.02106211
166,430,-0.54053879,-3.37376857,0,0,0.99874288,10,0.00945874,0,-0.01933423,-0.00102025,0.01886049
168,430,-0.54749352,-3.36061001,0,0,0.99857187,10,0.17970708,0,-0.0205037,0.00041555,0.01687937
170,430,-0.55230904,-3.36724758,0,0,0.99174887,10,0.87434602,0,-0.01910014,-0.00002741,0.01567939
172,430,-0.55523938,-3.3335917,0,0,0.99832797,10,0.1966708,0,-0.01562091,0.00188913,0.01426413
174,430,-0.55480266,-3.31801486,0,-2,0.99852753,6,0.00073123,0,-0.01347985,0.0019375,0.01207779
176,430,-0.54887229,-3.30472779,0,-3,0.99841076,5,0.00025486,0,-0.01193905,0.00221349,0.00903238
178,430,-0.55044532,-3.28869915,0,-3,0.99831855,5,0.00049432,0,-0.00551497,-0.00248014,0.00841709
180,430,-0.54998469,-3.26960039,0,-3,0.99831402,5,0.00037866,0,-0.00128535,-0.00156356,0.00695457
182,430,-0.54958087,-3.25156975,0,-3,0.99825323,5,0.00027742,0,-0.00192178,0.0002939,0.00610664
184,430,-0.55131656,-3.23746419,0,-3,0.99811172,4,0.00095111,0,0.00059482,0.00200269,0.00467207
186,430,-0.55437267,-3.22564602,0,-3,0.99794257,4,0.00056278,0,0.00277131,0.00277543,0.00403371
188,430,-0.55723822,-3.21118331,0,-3,0.99769843,4,0.00084455,0,0.00061606,0.00406297,0.00318059
190,430,-0.56026042,-3.19739509,0,-3,0.99733943,5,0.00048079,0,-0.00091013,0.00507822,0.00192155
192,430,-0.56356359,-3.18354988,0,-3,0.99696255,5,0.00057073,0,-0.00253701,0.00591118,0.00075674
194,430,-0.56490904,-3.17005181,0,-3,0.99634427,5,0.00050697,0,-0.0039743,0.00659378,-0.00041912
196,430,-0.56774652,-3.15733075,0,-3,0.99594241,4,0.00026967,0,-0.00399105,0.00598296,-0.00030596
198,430,-0.57107145,-3.14366508,0,-3,0.99564505,5,0.00053222,0,-0.00360178,0.00554684,-0.00013662
200,430,-0.57535064,-3.13338065,-1,-3,0.99516433,5,0.00058071,0,-0.00141806,0.00424392,0.00140448
202,430,-0.57506502,-3.1218555,-1,-3,0.99482363,5,0.00065139,0,-0.00145995,0.00433792,0.00129382
204,430,-0.57994592,-3.11232781,-1,-3,0.99474597,5,0.00071697,0,-0.00148082,0.0044148,0.00116583
206,430,-0.58443278,-3.10392857,-1,-3,0.99480224,5,0.00058158,0,-0.00149979,0.00447731,0.00102585
208,430,-0.58952379,-3.09638119,-1,-3,0.994973,5,0.00057236,0,-0.00151746,0.00451896,0.0008825
210,430,-0.59214413,-3.08632445,-1,-3,0.99517488,5,0.00083136,0,-0.00151631,0.00454495,0.00073657
212,430,-0.59488267,-3.07809639,-1,-3,0.99518913,5,0.00032557,0,-0.00152528,0.00455826,0.00065313
214,430,-0.59716058,-3.06919956,-1,-3,0.99493837,5,0.0004462,0,-0.00151953,0.00456429,0.0005734
216,430,-0.60161614,-3.06363535,-1,-3,0.99470061,5,0.00074536,0,-0.00151425,0.00456586,0.00050074
218,430,-0.60544813,-3.05864549,-1,-3,0.9946816,6,0.00031848,0,-0.0014914,0.00456073,0.00043419
220,430,-0.60851794,-3.05397558,-1,-3,0.99462235,6,0.00030749,0,-0.0014707,0.00455453,0.00036164
222,430,-0.60942721,-3.05175376,-1,-3,0.99462646,5,0.00055677,0,-0.00141411,0.00454871,0.00029694
224,430,-0.61097068,-3.04782319,-1,-3,0.99477518,5,0.00040549,0,-0.00136011,0.00453756,0.00022883
226,430,-0.61389852,-3.04476047,-1,-3,0.99480098,5,0.0003058,0,-0.00131335,0.00452274,0.00015239
228,430,-0.61501068,-3.04220843,-1,-3,0.99486196,5,0.0002765,0,-0.00128588,0.00450806,0.00006115
30,432,-0.20252258,-2.96303797,0,-3,0.99786454,4,0.00022626,0,-0.00049341,0.00357452,0.00059277
32,432,-0.2049007,-2.96583271,0,-3,0.99787235,4,0.00022814,0,-0.00057161,0.00359371,0.000588
34,432,-0.20500073,-2.96863341,0,-3,0.99794257,4,0.00028392,0,-0.00062271,0.00361179,0.00057412
36,432,-0.20471595,-2.97133398,0,-3,0.99784476,4,0.00040724,0,-0.00065933,0.00362889,0.00055654
38,432,-0.20328215,-2.97542024,0,-3,0.99789214,4,0.00033474,0,-0.00069216,0.00364665,0.00054067
40,432,-0.20540909,-2.97726893,0,-3,0.99798822,4,0.00025766,0,-0.00073102,0.00367069,0.00053309
42,432,-0.20867221,-2.9781611,0,-3,0.99813521,4,0.00026199,0,-0.0007554,0.00369717,0.00051761
44,432,-0.20934434,-2.97933578,0,-3,0.99819249,4,0.00041653,0,-0.00078066,0.00372654,0.00049817
46,432,-0.21235849,-2.98156977,0,-3,0.99820292,4,0.00046133,0,-0.00080869,0.00376213,0.00047861
48,432,-0.21403342,-2.98302746,0,-3,0.99822295,4,0.00038739,0,-0.00083613,0.00379976,0.00045781
50,432,-0.21746743,-2.98720074,0,-3,0.99823523,4,0.00070577,0,-0.00088694,0.00384281,0.0004294
52,432,-0.21945852,-2.99040842,0,-3,0.99819493,4,0.00025505,0,-0.00095419,0.00388563,0.00039668
54,432,-0.22076656,-2.994416,0,-3,0.99813545,4,0.00027526,0,-0.00102112,0.00393064,0.00035525
56,432,-0.223423,-2.99738336,0,-3,0.99807507,4,0.00031092,0,-0.00107396,0.00397357,0.00030649
58,432,-0.22660442,-2.99901271,0,-3,0.99803442,4,0.00033424,0,-0.00110534,0.00401516,0.00025248
60,432,-0.22670011,-3.0047791,0,-3,0.99796486,4,0.00045039,0,-0.00113661,0.0040527,0.00018612
62,432,-0.22961575,-3.01081562,0,-3,0.99796844,4,0.0005573,0,-0.0011583,0.00409284,0.00011073
64,432,-0.23199087,-3.0157125,0,-3,0.99788952,4,0.0004787,0,-0.00117359,0.00413221,0.00002557
66,432,-0.2332309,-3.0209043,0,-3,0.99781948,4,0.00053689,0,-0.00117251,0.0041684,-0.00007158
68,432,-0.23676832,-3.02570271,0,-3,0.99773985,4,0.0003652,0,-0.00115399,0.00420452,-0.0001824
70,432,-0.24216551,-3.03118777,0,-3,0.99763882,4,0.00030897,0,-0.0011321,0.00423938,-0.00031104
72,432,-0.24598321,-3.03702426,0,-3,0.99755079,4,0.00060975,0,-0.00110057,0.00427074,-0.0004547
